,condition,sub,networks,mPHI,FC_ENT,ENT_PHI,ENT_Q,ENT_PC,ENT_SIG,mSIG
305,MCS,sbj-MCS-5,Cor1,0.729135623,1.006192932,1.22145417,1.046412942,1.799304267,0,2.369922246
306,MCS,sbj-MCS-6,Cor1,0.750460951,1.079820471,1.22881565,1.03285507,1.749832854,0,2.533264569
307,MCS,sbj-MCS-7,Cor1,0.730246083,0.745227654,1.103327628,1.308097727,1.848376196,0,1.997293447
308,MCS,sbj-MCS-8,Cor1,0.712009676,0.88667141,1.223867818,0.980929173,1.764392161,0,2.823799637
309,MCS,sbj-MCS-9,Cor1,0.707335506,1.088990221,1.121468109,1.128002465,1.821764363,0,1.606631178
310,MCS,sbj-MCS-10,Cor1,0.729698459,0.790697389,1.079939078,1.18190918,1.711631232,0,2.636433673
311,MCS,sbj-MCS-11,Cor1,0.726423207,0.602249549,1.033342632,1.205195838,1.740691698,0,2.548060702
312,MCS,sbj-MCS-1,Cor4,0.69479526,0.647843266,0.563366431,0.886479761,1.374091809,0,1.143990638
313,MCS,sbj-MCS-2,Cor4,0.671043297,1.050146279,1.125218445,1.103164186,1.763230061,0,2.471314737
314,MCS,sbj-MCS-3,Cor4,0.582873367,0.996946503,1.606478042,1.534082099,1.876668894,0,2.193389645
315,MCS,sbj-MCS-4,Cor4,0.709562166,0.907499466,0.773782534,1.050342419,1.723229454,0,1.597175508
316,MCS,sbj-MCS-5,Cor4,0.666170222,0.978708361,0.635891523,1.095576515,1.793274182,0,2.180465327
317,MCS,sbj-MCS-6,Cor4,0.702538308,1.029317348,0.767307981,0.942925074,1.734454701,0,2.096306713
318,MCS,sbj-MCS-7,Cor4,0.687589796,0.720021948,0.789119041,1.275376571,1.676883604,0,1.885726742
319,MCS,sbj-MCS-8,Cor4,0.646619442,0.892514053,0.749719445,0.946945629,1.687097601,0,2.515160748
320,MCS,sbj-MCS-9,Cor4,0.705766687,1.002041625,0.578435942,1.056327713,1.799598,0,1.498741958
321,MCS,sbj-MCS-10,Cor4,0.665306527,0.853856761,0.966858238,1.08681698,1.758927477,0,2.421623453
322,MCS,sbj-MCS-11,Cor4,0.678224651,0.471840177,0.436596217,1.033787264,1.486228935,0,2.370493639
323,MCS,sbj-MCS-1,SUB,0.792302601,0.672981511,1.127803524,1.202883324,1.650139621,0,1.939405969
324,MCS,sbj-MCS-2,SUB,0.768171795,1.147165514,0.975632616,1.213150449,1.832479291,0,3.210353324
325,MCS,sbj-MCS-3,SUB,0.720801819,1.178931461,1.066125819,1.441379868,1.955186872,0,1.881093595
326,MCS,sbj-MCS-4,SUB,0.799267927,0.969959581,0.984159625,1.204494657,1.718310746,0,3.068238699
327,MCS,sbj-MCS-5,SUB,0.731974253,1.154540841,1.128867851,1.222633541,1.836222646,0,1.540436622
328,MCS,sbj-MCS-6,SUB,0.771696091,1.17828921,1.124890973,1.290784357,1.840919673,0,3.790347809
329,MCS,sbj-MCS-7,SUB,0.783925533,0.884301962,1.137413817,1.31751347,1.866354087,0,2.061502416
330,MCS,sbj-MCS-8,SUB,0.801942143,0.810075496,1.224766117,1.115965555,1.78241596,0,1.728867042
331,MCS,sbj-MCS-9,SUB,0.822926705,1.194089348,1.057501105,1.427102764,1.841912389,0,2.158663515
332,MCS,sbj-MCS-10,SUB,0.78300528,0.971087234,1.074681966,1.282526483,1.882697494,0,2.860099405
333,MCS,sbj-MCS-11,SUB,0.768362102,0.522545573,1.128084096,1.101344005,1.789391057,0,2.725910057
334,MCS,sbj-MCS-1,AAL,0.693921002,0.543671781,0.991424857,1.019850348,1.539324485,1.300903209,1.423585024
335,MCS,sbj-MCS-2,AAL,0.751486627,1.036279053,1.279812513,1.160455103,1.759472144,1.255954926,2.189885708
336,MCS,sbj-MCS-3,AAL,0.653027618,0.984529154,1.441002456,1.517357625,1.906780237,1.193531497,2.362009363
337,MCS,sbj-MCS-4,AAL,0.760510971,1.044107425,1.352964797,1.246816217,1.691284186,1.300060388,2.294847671
